,total_posts,helpful_post,nice_code_post,collaborative_post,confused_post,creative_post,bad_post,amazing_post,timeonline,sk1_classroom,sk2_classroom,sk5_classroom,sk3_classroom,sk4_classroom,Approved
16,2.0,3.0,3.0,10.0,0.0,16.0,0.0,26.0,5771.0,"8,2","7,1","7,5","7,1","8,8",1
17,2.0,2.0,1.0,5.0,0.0,10.0,0.0,10.0,1581.0,5,6,5,6,"8,1",1
18,1.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,368.0,5,6,5,6,"8,1",1
19,18.0,16.0,27.0,42.0,3.0,76.0,2.0,54.0,21506.0,9,9,9,"9,3","8,6",1
20,2.0,0.0,2.0,4.0,0.0,7.0,0.0,9.0,3247.0,"4,2","5,9","7,5","6,1","8,7",1
21,13.0,8.0,14.0,33.0,1.0,35.0,0.0,26.0,20765.0,"9,3","9,3",8,"9,3","9,4",1
22,3.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,1284.0,"0,8","0,3",0,"0,3","0,2",0
23,15.0,8.0,8.0,29.0,0.0,65.0,0.0,61.0,22594.0,10,9,8,8,10,1
24,8.0,3.0,20.0,12.0,0.0,24.0,0.0,33.0,10447.0,"8,3","8,4",7,"9,3","8,4",1
25,13.0,11.0,13.0,24.0,0.0,34.0,0.0,28.0,19244.0,10,9,8,8,10,1
26,6.0,6.0,13.0,15.0,0.0,26.0,0.0,34.0,27669.0,7,5,5,6,10,1
27,11.0,8.0,18.0,33.0,0.0,44.0,0.0,53.0,17693.0,9,9,10,"9,7",10,1
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,0,0,0,"0,1",0,0
29,3.0,1.0,1.0,7.0,0.0,10.0,0.0,24.0,8867.0,8,8,9,8,"9,4",1
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
31,4.0,0.0,0.0,4.0,0.0,12.0,0.0,9.0,14875.0,"4,3","4,9",4,"6,7","9,8",1
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
33,12.0,7.0,11.0,37.0,0.0,34.0,0.0,64.0,22701.0,8,8,8,7,9,1
34,2.0,5.0,1.0,7.0,2.0,4.0,0.0,2.0,1655.0,8,8,9,8,"8,8",1
35,3.0,3.0,2.0,3.0,0.0,12.0,0.0,12.0,3019.0,"5,6","5,5",6,"5,2","9,4",1
36,10.0,3.0,15.0,16.0,2.0,22.0,0.0,24.0,14728.0,"9,3","9,2",10,10,10,1
37,4.0,1.0,3.0,3.0,0.0,10.0,0.0,11.0,9601.0,7,8,8,7,10,1
38,7.0,9.0,16.0,35.0,0.0,27.0,0.0,27.0,18510.0,"8,3","8,7",7,"8,7","9,7",1
39,6.0,5.0,1.0,13.0,0.0,18.0,0.0,26.0,13084.0,"6,3","6,3","7,5","7,8",10,1
40,2.0,1.0,2.0,4.0,0.0,9.0,0.0,9.0,1351.0,"1,2","1,2",0,"0,7","0,9",0
41,8.0,6.0,16.0,17.0,0.0,15.0,0.0,24.0,11239.0,7,8,8,7,10,1
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
44,6.0,3.0,4.0,11.0,0.0,17.0,0.0,25.0,7664.0,"3,2","2,2",0,"1,2","2,6",0
45,8.0,6.0,15.0,13.0,3.0,12.0,1.0,18.0,15354.0,6,"4,9","3,5","6,7",7,1
46,2.0,3.0,4.0,1.0,0.0,14.0,0.0,7.0,32098.0,7,6,6,8,"8,6",1
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
49,2.0,0.0,2.0,2.0,0.0,3.0,0.0,10.0,2581.0,"1,3","0,4",0,"0,4","9,4",0
50,6.0,1.0,14.0,19.0,0.0,26.0,0.0,25.0,12576.0,5,"3,3",10,"1,5",10,1
51,4.0,2.0,1.0,7.0,0.0,8.0,0.0,17.0,2995.0,9,9,8,10,8,1
52,4.0,1.0,3.0,7.0,0.0,17.0,0.0,8.0,2042.0,9,9,8,10,8,1
53,8.0,4.0,19.0,8.0,0.0,26.0,0.0,25.0,3377.0,7,8,8,7,10,1
54,3.0,5.0,6.0,11.0,0.0,19.0,0.0,16.0,13037.0,"6,4","8,1","7,5","8,2","9,4",1
55,5.0,5.0,11.0,12.0,0.0,14.0,0.0,21.0,15228.0,"4,7","4,3","1,5",5,"9,6",1
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
57,2.0,3.0,2.0,4.0,0.0,7.0,0.0,7.0,1835.0,1,"0,9",0,"0,3","8,8",0
58,5.0,5.0,0.0,12.0,5.0,11.0,0.0,12.0,18545.0,"4,8","5,4",5,"7,3","9,4",1
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
61,11.0,12.0,39.0,22.0,2.0,45.0,0.0,28.0,18955.0,"6,3","5,7","4,5",8,7,1
62,3.0,0.0,0.0,4.0,0.0,11.0,0.0,7.0,2944.0,7,8,8,7,10,1
63,1.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,4271.0,"0,4","0,5",0,"0,4","0,2",0
64,8.0,6.0,2.0,11.0,0.0,24.0,0.0,18.0,7568.0,7,5,5,"4,3",10,1
65,7.0,6.0,9.0,19.0,0.0,32.0,0.0,28.0,16395.0,7,"7,3",5,8,"9,8",1
66,46.0,53.0,90.0,89.0,3.0,150.0,0.0,155.0,39314.0,10,10,8,10,10,1
67,6.0,5.0,14.0,16.0,5.0,24.0,0.0,22.0,13221.0,"6,7","6,7",4,"8,3","9,4",1
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,0,0,0,"0,1",0,0
69,2.0,2.0,2.0,2.0,0.0,7.0,0.0,9.0,2100.0,"2,2","1,9","2,5","1,1","8,4",0
70,5.0,8.0,9.0,19.0,2.0,22.0,0.0,17.0,6826.0,8,"7,2",7,"7,1","9,3",1
